Transaction_Type,Property_Type,Municipality,Neighborhood,Price,Land_Area,Construction_Area,Price_per_SqMeter_Land,Price_per_SqMeter_Construction
Rental,Departamento,TLAQUEPAQUE,SAN SEBASTIANITO,6800.0,,,,
Rental,Departamento,ZAPOPAN,PUERTA DE HIERRO,20000.0,,,,
Rental,Casa,ZAPOPAN,CIUDAD BUGAMBILIAS,25000.0,,,,
Rental,Casa,TLAQUEPAQUE,LA ASUNCION,20000.0,,,,
Rental,Casa,GUADALAJARA,AMERICANA,38000.0,,,,
Rental,Departamento,GUADALAJARA,AMERICANA,23000.0,,,,
Rental,Departamento,ZAPOPAN,LOMAS DEL VALLE,27000.0,,,,
Rental,Departamento,ZAPOPAN,,18500.0,,,,
Rental,Casa,ZAPOPAN,CIUDAD DEL SOL,55000.0,,,,
Rental,Departamento,ZAPOPAN,PUERTA DEL VALLE,30000.0,,,,
Rental,Departamento,TLAJOMULCO,NUEVA GALICIA,12000.0,,,,
Rental,Departamento,ZAPOPAN,PUERTA DE HIERRO,50000.0,,,,
Rental,Departamento,GUADALAJARA,LADRON DE GUEVARA,20000.0,,,,
Rental,Casa,ZAPOPAN,VALLE REAL,80000.0,,,,
Rental,Departamento,ZAPOPAN,PUERTA DE HIERRO,36000.0,,,,
Rental,Casa,ZAPOPAN,PUERTA DE HIERRO,57000.0,,,,
Rental,Departamento,GUADALAJARA,,20500.0,,,,
Rental,Casa,ZAPOPAN,,25000.0,,,,
Rental,Casa,ZAPOPAN,,12500.0,,,,
Rental,Casa,ZAPOPAN,FRANCISCO SARABIA,11900.0,,,,
Rental,Departamento,GUADALAJARA,JARDINES ALCALDE,9800.0,,,,
Rental,Casa,ZAPOPAN,VALLE IMPERIAL,25000.0,,,,
Rental,Departamento,GUADALAJARA,,25000.0,,,,
Rental,Casa,TLAJOMULCO,,17000.0,,,,
Rental,Departamento,TLAJOMULCO,,14000.0,,,,
Rental,Casa,TLAJOMULCO,REAL DEL SOL,6500.0,,,,
Rental,Departamento,ZAPOPAN,,18000.0,,,,
Rental,Departamento,GUADALAJARA,COUNTRY CLUB,24380.0,,,,
Rental,Departamento,GUADALAJARA,VALLARTA SAN JORGE,33500.0,,,,
Rental,Casa,ZAPOPAN,JARDINES DEL VERGEL,8000.0,,,,
Rental,Departamento,ZAPOPAN,,30000.0,,,,
Rental,Casa,TLAJOMULCO,ALTA CALIFORNIA,7800.0,,,,
Rental,Casa,ZAPOPAN,VALLE REAL,55000.0,,,,
Rental,Casa,ZAPOPAN,,45000.0,,,,
Rental,Casa,ZAPOPAN,,22500.0,,,,
Rental,Casa,ZAPOPAN,SOLARES AVEIRA,27900.0,,,,
Rental,Casa,ZAPOPAN,,29980.0,,,,
Rental,Casa,ZAPOPAN,VALLE REAL,100000.0,,,,
Rental,Departamento,GUADALAJARA,PRADOS PROVIDENCIA,28500.0,,,,
Rental,Casa,TLAJOMULCO,,32000.0,,,,
Rental,Departamento,GUADALAJARA,,55000.0,,,,
Rental,Departamento,GUADALAJARA,LADRON DE GUEVARA,25000.0,,,,
Rental,Departamento,ZAPOPAN,,13000.0,,,,
Rental,Casa,ZAPOPAN,VALLE IMPERIAL,20000.0,,,,
Rental,Casa,ZAPOPAN,VALLE ESMERALDA,22200.0,,,,
Rental,Departamento,ZAPOPAN,,34000.0,,,,
